OK 6ms 50.62.89.123:443 cached
OK 164ms 89.125.244.28:443 cached
OK 12ms 185.95.231.156:443 cached
OK 25ms 195.211.99.45:443 cached
OK 156ms rocket.silenceux.ir:8880 cached
OK 91ms 159.69.28.178:20995 cached
OK 96ms 94.156.155.27:443 cached
OK 131ms 45.155.52.231:443 cached
OK 126ms 185.229.9.31:49175
OK 6ms 198.62.62.99:2052 cached
OK 6ms 45.130.125.160:2052 cached
OK 231ms 116.251.217.65:443 cached
OK 201ms 46.243.234.72:2053 cached
OK 56ms 108.186.202.51:46142
OK 133ms 144.225.65.111:46142 cached
OK 95ms 193.160.32.36:2053 cached
OK 90ms 5.255.126.104:46142 cached
OK 142ms 152.228.162.19:80 cached
OK 215ms ov-france1.09vpn.com:80 cached
OK 107ms 144.31.3.127:443 cached
OK 102ms 144.31.3.151:443
OK 128ms 186.246.13.160:443 cached
OK 130ms 186.246.2.31:443 cached
OK 130ms 186.246.6.110:443 cached
OK 129ms 186.246.6.33:443 cached
OK 125ms 193.160.208.137:443 cached
OK 129ms 201.24.52.151:443
OK 126ms 5.129.246.114:443
OK 90ms 84.32.100.185:443 cached
OK 90ms 84.32.98.192:443 cached
OK 2ms 45.33.62.166:43595 cached
OK 156ms 203.137.165.164:57554 cached
OK 6ms 45.130.125.96:443 cached
OK 156ms 210.152.85.154:19364 cached
OK 174ms 54.169.169.217:19149 cached
OK 175ms 46.137.202.178:12512 cached
OK 94ms 109.120.150.185:11261 cached
OK 175ms 54.255.30.106:31252 cached
OK 180ms 72.56.34.223:15200 cached
OK 276ms nuclear.us.kg:443 cached
OK 2ms 173.230.155.55:50900 cached
OK 106ms 54.178.54.169:59497 cached
OK 132ms 185.141.227.150:9001 cached
OK 129ms 185.141.227.150:9002 cached
OK 188ms 185.141.227.153:9001 cached
OK 180ms 104.105.18.183:23147 cached
OK 169ms 146.235.16.130:19825 cached
OK 6ms 216.24.57.15:443 cached
OK 174ms 52.77.187.151:25066 cached
OK 94ms 2.59.183.167:443 cached
OK 42ms free73-us2.node2.top:443 cached
OK 175ms 52.77.240.16:15562 cached
OK 184ms 194.55.239.20:443 cached
OK 231ms 217.217.254.126:2053 cached
OK 169ms 5.34.176.233:443 cached
OK 97ms 45.76.87.125:14750 cached
OK 108ms 185.218.194.62:443 cached
OK 106ms 52.68.64.80:25892 cached
OK 91ms 193.23.194.167:2053 cached
OK 96ms 193.23.194.167:443 cached
OK 89ms 193.23.194.167:8443 cached
OK 106ms 13.231.129.39:29224 cached
OK 174ms 13.212.253.233:41077 cached
OK 106ms 54.250.13.242:18538 cached
OK 153ms 156.231.113.153:443 cached
OK 6ms 151.101.56.7:443 cached
OK 193ms 13.212.10.131:30666 cached
OK 119ms 185.147.27.183:8443
OK 160ms 128.204.223.94:9815 cached
OK 106ms 35.77.87.249:42263 cached
OK 107ms 52.197.69.21:16205 cached
OK 287ms nian.001.url111.kcloud02.top:15003 cached
OK 218ms 52.220.246.115:47085 cached
OK 122ms 185.147.27.164:8443 cached
OK 186ms 47.131.211.4:33164 cached
OK 9ms 172.236.252.35:46645 cached
OK 9ms 69.46.46.14:443 cached
OK 174ms 18.143.103.4:33709 cached
OK 53ms 129.153.71.28:28863 cached
OK 143ms 72.56.40.152:443 cached
OK 419ms usa.korgivps.ru:443
OK 107ms 18.178.233.232:16138 cached
OK 151ms 2.26.100.192:2087 cached
OK 55ms 128.241.25.11:30021 cached
OK 108ms 54.95.137.141:27898 cached
OK 88ms 163.172.214.188:80 cached
OK 188ms sc-thenetherlands1.09vpn.com:80 cached
OK 145ms 162.35.231.31:443 cached
OK 89ms 194.93.61.100:443
OK 91ms 179.61.138.177:18153 cached
OK 61ms 192.227.168.162:18153 cached
OK 88ms 195.170.172.139:18153 cached
OK 12ms 198.98.48.110:18153 cached
OK 58ms 23.166.40.27:18153 cached
OK 118ms 88.151.195.241:18153 cached
OK 222ms 138.249.20.37:443 cached
OK 221ms 138.249.20.37:8443 cached
OK 93ms 144.31.168.95:443
OK 91ms 144.31.86.136:443 cached
OK 123ms 178.176.128.128:443 cached
OK 121ms 31.76.70.31:443 cached
OK 133ms 31.76.70.32:443 cached
OK 125ms 5.34.182.23:443 cached
OK 145ms 87.121.221.200:13443 cached
OK 13ms 204.48.20.223:30906 cached
OK 106ms 35.72.188.24:41773 cached
OK 88ms 72.56.92.177:40443 cached
OK 92ms 45.131.66.247:20002 cached
OK 86ms 86.54.28.75:443 cached
OK 176ms 54.151.153.129:59180 cached
OK 11ms 172.233.156.118:29513 cached
OK 2ms 192.81.131.225:11256 cached
OK 179ms 5.129.251.171:7443 cached
OK 179ms 5.42.112.130:7443 cached
OK 73ms 15.204.97.195:23576 cached
OK 72ms 15.204.97.197:23576 cached
OK 68ms 15.204.97.198:23576 cached
OK 68ms 15.204.97.206:23576 cached
OK 71ms 15.204.97.219:23576 cached
OK 92ms 51.158.206.103:23576 cached
OK 90ms 51.158.206.12:23576 cached
OK 90ms 51.158.206.20:23576 cached
OK 91ms 51.158.206.25:23576 cached
OK 90ms 51.158.206.26:23576 cached
OK 112ms 51.158.206.29:23576 cached
OK 86ms 51.158.206.34:23576 cached
OK 92ms 51.158.206.80:23576 cached
OK 88ms 51.158.206.86:23576 cached
OK 86ms 51.158.206.87:23576 cached
OK 98ms 51.158.206.8:23576 cached
OK 89ms 51.158.206.93:23576 cached
OK 92ms 51.158.206.96:23576 cached
OK 90ms 51.158.206.97:23576 cached
OK 90ms 51.158.206.98:23576 cached
OK 91ms 62.210.91.10:23576 cached
OK 177ms 54.169.200.246:41688 cached
OK 88ms 146.75.119.82:80 cached
OK 114ms 178.83.31.93:443 cached
OK 7ms 194.156.26.1:443 cached
OK 9ms 172.233.156.123:28396 cached
OK 89ms 72.56.81.165:40443 cached
OK 10ms 172.239.67.231:52553 cached
OK 34ms 149.33.8.216:443 cached
OK 84ms 72.56.115.125:443
OK 69ms mtn.v2plus.ovh:80 cached
OK 124ms 82.202.169.120:443 cached
OK 176ms 13.212.142.27:20220 cached
OK 6ms 159.246.55.244:443 cached
OK 6ms 213.241.198.123:80 cached
OK 106ms 13.230.222.139:18384 cached
OK 2ms 173.255.242.235:23776 cached
OK 209ms 5.253.30.99:40443 cached
OK 128ms 201.24.51.241:4100 cached
OK 106ms 52.193.64.73:33528 cached
OK 89ms 188.226.174.73:443
OK 113ms 138.124.180.137:443 cached
OK 155ms 31.76.91.72:2087 cached
OK 127ms 151.241.226.201:2053 cached
OK 55ms 128.241.25.3:30021 cached
OK 145ms 94.103.1.65:8443 cached
OK 168ms 139.59.124.172:443 cached
OK 116ms 83.147.216.223:4433 cached
OK 241ms fu.baiproxy.us.ci:2087 cached
