OK 348ms netraidly.ru:40443 cached
OK 161ms 167.150.100.133:450 cached
OK 96ms 147.45.50.132:443 cached
OK 6ms 162.159.8.155:443
OK 279ms kovirabot3.kovira2.ir:13424
OK 172ms 13.38.35.46:443
OK 10ms 208.103.161.170:443
OK 346ms youxuan.cf.090227.xyz:443 cached
OK 110ms 89.39.70.49:443
OK 124ms 5.231.80.219:443 cached
OK 61ms 104.16.174.159:2096
OK 161ms 91.224.87.98:443
OK 156ms 91.224.87.181:443
OK 145ms 45.131.212.7:443 cached
OK 121ms 141.164.42.2:443 cached
OK 52ms 34.132.50.119:443 cached
OK 61ms 23.162.200.198:18000 cached
OK 47ms 154.21.93.106:8443
OK 266ms 149.104.104.58:443 cached
OK 127ms 146.103.113.158:443
OK 346ms tu1.leviko.levikogjgfdd.ir:5039
OK 156ms 82.40.23.174:443 cached
OK 40ms 167.88.167.57:443 cached
OK 192ms 110.34.38.23:521
OK 127ms hikvision-plus.com:2052
OK 289ms 193.93.169.242:53655
OK 148ms 130.12.242.106:443 cached
OK 87ms 72.56.92.177:40443 cached
OK 102ms 178.17.57.19:443 cached
OK 184ms 45.196.201.206:443 cached
OK 128ms 45.196.201.135:443 cached
OK 94ms 72.56.81.165:40443 cached
OK 183ms 45.196.201.96:443 cached
OK 183ms 45.196.201.62:443 cached
OK 184ms 45.196.201.2:443 cached
OK 188ms 45.196.201.90:443 cached
OK 152ms 159.195.27.99:443 cached
OK 145ms 152.70.58.201:443 cached
OK 188ms 45.196.201.33:443 cached
OK 183ms 45.196.201.79:443 cached
OK 187ms 45.196.201.17:443 cached
OK 128ms 45.196.201.228:443 cached
OK 122ms 43.108.48.169:40701 cached
OK 185ms 45.196.201.52:443 cached
OK 164ms 146.103.103.78:8443 cached
OK 209ms 45.89.105.74:40443 cached
OK 30ms 216.227.169.104:443 cached
OK 257ms www.calmlunch.com:443 cached
OK 274ms 18.239.134.69:80 cached
OK 234ms fi.sv.temas-bor.ir:22010 cached
OK 207ms 77.91.68.70:55983 cached
OK 188ms 45.196.201.21:443 cached
OK 128ms 45.196.201.105:443 cached
OK 183ms 45.196.201.59:443 cached
OK 188ms 45.196.201.93:443 cached
OK 184ms 45.196.201.220:443 cached
OK 136ms 57.129.132.223:80 cached
OK 185ms 45.196.201.53:443 cached
OK 158ms 86.106.84.195:53261 cached
OK 99ms 43.165.186.226:443 cached
OK 148ms 31.56.184.214:443 cached
OK 156ms 168.222.244.66:10277 cached
OK 160ms 82.40.23.142:443 cached
OK 184ms 45.196.201.241:443 cached
OK 188ms 45.196.201.28:443 cached
OK 184ms 45.196.201.78:443 cached
OK 173ms at.sv.temas-bor.ir:22000 cached
OK 148ms 5.255.102.165:443 cached
OK 210ms 217.11.164.87:44217 cached
OK 205ms 103.119.18.192:443 cached
OK 187ms 45.196.201.170:443 cached
OK 101ms 217.60.99.18:443 cached
OK 193ms 45.196.201.160:443 cached
OK 99ms 144.31.87.16:2053 cached
OK 131ms 144.31.214.196:443
OK 349ms www.multiplydose.com:443 cached
OK 347ms www.gossipglove.com:443 cached
OK 146ms 45.13.119.219:8888 cached
OK 158ms 2.26.124.69:443 cached
OK 161ms 138.124.67.45:443 cached
OK 188ms 45.196.201.177:443 cached
OK 183ms 45.196.201.65:443 cached
OK 98ms 3.114.220.22:18007 cached
OK 184ms 45.196.201.55:443 cached
OK 188ms 45.196.201.22:443 cached
OK 206ms 185.155.97.241:443 cached
OK 189ms 45.196.201.243:443 cached
OK 222ms 193.124.204.145:49853 cached
OK 183ms 45.196.201.80:443 cached
OK 188ms 45.196.201.37:443 cached
OK 169ms 45.140.205.186:2443 cached
OK 183ms 45.196.201.97:443 cached
OK 172ms 193.148.19.210:52794 cached
OK 187ms 87.120.106.125:5039 cached
OK 183ms 45.196.201.3:443 cached
OK 99ms 2.26.90.105:443 cached
OK 154ms 67.159.56.57:443 cached
OK 55ms 148.72.168.35:58615 cached
OK 227ms 178.236.17.86:443 cached
OK 128ms 45.196.201.60:443 cached
OK 188ms 45.196.201.121:443 cached
OK 125ms 144.31.240.140:443 cached
OK 5ms 45.130.125.158:2053 cached
