OK 179ms 185.242.19.250:443
OK 175ms 45.11.26.216:8443
OK 180ms 45.11.26.233:8443
OK 163ms 95.183.11.123:443
OK 451ms nl.moktana.app:443
OK 966ms top4182166920.mwscdn.ru:443
OK 206ms ru.bubibubibu.com:443
OK 443ms l12.l-itx.info:2053
OK 12ms 184.174.80.50:8880 cached
OK 18ms 192.0.63.30:8880
OK 18ms 45.40.146.50:8880
OK 19ms 45.80.110.50:8880
OK 6ms 63.141.128.30:8880 cached
OK 18ms 77.75.199.30:8880
OK 18ms 141.193.213.10:443
OK 18ms 216.24.57.6:8443
OK 500ms www.epicgames.com:2095 cached
OK 18ms 91.193.58.17:2083
OK 179ms 103.88.241.133:8443
OK 214ms 193.53.126.108:443
OK 160ms 93.93.88.22:443
OK 18ms 212.183.88.136:443
OK 18ms 216.24.57.6:443
